year;month;day;hour;weekday;temp;blackout;phases;deenergized;function
2021;10;22;5;5;13.9;0;0;0;0.842
2021;10;22;6;5;12.9;0;0;0;0.893
2021;10;22;7;5;13.6;0;0;0;1.078
2021;10;22;8;5;13.9;0;0;0;1.322
2021;10;22;9;5;14.9;0;0;0;1.48
2021;10;22;10;5;16;0;0;0;1.578
2021;10;22;11;5;15.9;0;0;0;1.594
2021;10;22;12;5;15.9;0;0;0;1.574
2021;10;22;13;5;16.1;0;0;0;1.546
2021;10;22;14;5;15.9;0;0;0;1.535
2021;10;22;15;5;14.9;0;0;0;1.507
2021;10;22;16;5;14.2;0;0;0;1.48
2021;10;22;17;5;11.9;0;0;0;1.464
2021;10;22;18;5;12.9;0;0;0;1.476
2021;10;22;19;5;11.9;0;0;0;1.578
2021;10;22;20;5;8.9;0;0;0;1.609
2021;10;22;21;5;9.9;0;0;0;1.594
2021;10;22;22;5;9.7;0;0;0;1.539
2021;10;22;23;5;3.9;0;0;0;1.417
2021;10;22;24;5;7.9;0;0;0;1.267
2021;10;23;1;6;9.9;0;0;0;1.121
2021;10;23;2;6;7.9;0;0;0;0.968
2021;10;23;3;6;6.9;0;0;0;0.881
2021;10;23;4;6;7.6;0;0;0;0.834
2021;10;23;5;6;6.9;0;0;0;0.834
2021;10;23;6;6;6.9;0;0;0;0.866
2021;10;23;7;6;7.4;0;0;0;0.984
2021;10;23;8;6;8.9;0;0;0;1.145
2021;10;23;9;6;10.9;0;0;0;1.346
2021;10;23;10;6;11.4;0;0;0;1.499
2021;10;23;11;6;11.9;0;0;0;1.566
2021;10;23;12;6;11.9;0;0;0;1.562
2021;10;23;13;6;12.3;0;0;0;1.543
2021;10;23;14;6;10.9;0;0;0;1.523
2021;10;23;15;6;9.9;0;0;0;1.487
2021;10;23;16;6;9.3;0;0;0;1.456
2021;10;23;17;6;5.9;0;0;0;1.436
2021;10;23;18;6;5.9;0;0;0;1.46
2021;10;23;19;6;7.3;0;0;0;1.562
2021;10;23;20;6;6.9;0;0;0;1.59
2021;10;23;21;6;6.9;0;0;0;1.558
2021;10;23;22;6;7;0;0;0;1.495
2021;10;23;23;6;6.9;0;0;0;1.389
2021;10;23;24;6;5.9;0;0;0;1.251
2021;10;24;1;7;6.6;0;0;0;1.102
2021;10;24;2;7;5.9;0;0;0;0.968
