year;month;day;hour;weekday;temp;blackout;phases;deenergized
2024;11;23;20;6;-0.8;1;1;0
2024;11;23;21;6;-0.9;0;0;0
2024;11;23;22;6;-1.0;0;0;0
2024;11;23;23;6;-1.1;0;0;0
2024;11;23;24;6;-1.2;0;0;0
2024;11;24;1;7;-2.2;0;0;0
2024;11;24;2;7;-1.5;0;0;0
2024;11;24;3;7;-1.6;0;0;0
2024;11;24;4;7;-0.8;0;0;0
2024;11;24;5;7;-0.9;0;0;0
2024;11;24;6;7;-1.1;0;0;0
2024;11;24;7;7;-0.5;0;0;0
2024;11;24;8;7;-0.6;0;0;0
2024;11;24;9;7;-0.1;0;0;0
2024;11;24;10;7;0.9;0;0;0
2024;11;24;11;7;1.0;0;0;0
2024;11;24;12;7;1.2;0;0;0
2024;11;24;13;7;1.2;0;0;0
2024;11;24;14;7;0.9;0;0;0
2024;11;24;15;7;0.5;1;1;0
2024;11;24;16;7;-0.4;1;1;0
2024;11;24;17;7;-0.8;1;1;0
2024;11;24;18;7;-1.2;1;1;0
2024;11;24;19;7;-1.9;0;0;0
2024;11;24;20;7;-1.9;0;0;0
2024;11;24;21;7;-2.2;0;0;0
2024;11;24;22;7;-4.1;0;0;0
2024;11;24;23;7;-4.2;0;0;0
2024;11;24;24;7;-4.3;0;0;0
2024;11;25;1;1;-4.9;0;0;0
2024;11;25;2;1;-4.5;0;0;0
2024;11;25;3;1;-4.6;0;0;0
2024;11;25;4;1;-4.3;0;0;0
2024;11;25;5;1;-4.2;0;0;0
2024;11;25;6;1;-4.1;0;0;0
2024;11;25;7;1;-5.3;0;0;0
2024;11;25;8;1;-2.6;0;0;0
2024;11;25;9;1;-1.3;0;0;0
2024;11;25;10;1;-0.2;0;0;0
2024;11;25;11;1;0.6;0;0;0
2024;11;25;12;1;1.5;0;0;0
2024;11;25;13;1;1.9;0;0;0
2024;11;25;14;1;1.5;0;0;0
2024;11;25;15;1;0.7;1;1;0
2024;11;25;16;1;-2.5;1;1;0
2024;11;25;17;1;-2.7;1;1;0
2024;11;25;18;1;-3.0;1;1;0
2024;11;25;19;1;-3.5;1;1;0
2024;11;25;20;1;-3.4;1;1;0
2024;11;25;21;1;-3.6;0;0;0
2024;11;25;22;1;-3.5;0;0;0
2024;11;25;23;1;-3.8;0;0;0
2024;11;25;24;1;-3.8;0;0;0
2024;11;26;1;2;-3.8;0;0;0
2024;11;26;2;2;-4.1;0;0;0
2024;11;26;3;2;-4.4;0;0;0
2024;11;26;4;2;-4.3;0;0;0
2024;11;26;5;2;-4.9;0;0;0
2024;11;26;6;2;-5.0;0;0;0
2024;11;26;7;2;-4.7;0;0;0
2024;11;26;8;2;-3.8;1;1;0
2024;11;26;9;2;-2.7;1;1;0
2024;11;26;10;2;-3.6;1;1;0
2024;11;26;11;2;-2.7;0;0;0
2024;11;26;12;2;-1.7;0;0;0
2024;11;26;13;2;0.9;0;0;0
2024;11;26;14;2;-1.4;0;0;0
2024;11;26;15;2;-1.9;1;1;0
2024;11;26;16;2;-2.9;1;1;0
2024;11;26;17;2;-3.3;1;1;0
2024;11;26;18;2;-3.7;1;1;0
2024;11;26;19;2;-3.3;1;1;0
2024;11;26;20;2;-4.4;1;1;0
2024;11;26;21;2;-4.9;1;1;0
2024;11;26;22;2;-5.3;0;0;0
2024;11;26;23;2;-4.7;0;0;0
2024;11;26;24;2;-4.9;0;0;0
2024;11;27;1;3;-5.0;0;0;0
2024;11;27;2;3;-5.3;0;0;0
2024;11;27;3;3;-5.5;0;0;0
2024;11;27;4;3;-4.6;0;0;0
2024;11;27;5;3;-4.7;0;0;0
2024;11;27;6;3;-4.7;0;0;0
2024;11;27;7;3;-5.9;0;0;0
2024;11;27;8;3;-4.2;0;0;0
2024;11;27;9;3;-3.7;1;1;0
2024;11;27;10;3;-4.4;1;1;0
2024;11;27;11;3;-3.7;1;1;0
2024;11;27;12;3;-3.1;1;1;0
2024;11;27;13;3;-2.9;1;1;0
2024;11;27;14;3;-2.5;1;1;0
2024;11;27;15;3;-2.6;1;1;0
2024;11;27;16;3;-2.6;1;1;0
2024;11;27;17;3;-2.6;1;1;0
2024;11;27;18;3;-2.6;1;1;0
2024;11;27;19;3;-1.8;1;1;0
2024;11;27;20;3;-2.4;0;0;0
2024;11;27;21;3;-2.2;0;0;0
2024;11;27;22;3;-1.1;0;0;0
2024;11;27;23;3;-0.9;0;0;0
